
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zaid Abdul-Aziz,C,24,SEA,61,,20.9,4.3,9.8,.441,,,,4.3,9.8,.441,.441,2.3,3.1,.739,,,7.7,0.7,,,,1.9,10.9
2,Kareem Abdul-Jabbar*,C,23,MIL,82,,40.1,13.0,22.5,.577,,,,13.0,22.5,.577,.577,5.7,8.3,.690,,,16.0,3.3,,,,3.2,31.7
3,Mahdi Abdul-Rahman,PG,28,ATL,82,,35.1,6.3,13.7,.459,,,,6.3,13.7,.459,.459,3.8,5.1,.759,,,3.7,6.3,,,,3.4,16.5
4,Don Adams,SF,23,SDR,82,,29.0,4.8,11.7,.409,,,,4.8,11.7,.409,.409,1.9,2.6,.731,,,7.1,2.1,,,,4.2,11.4
5,Rick Adelman,PG,24,POR,81,,28.4,4.7,11.0,.422,,,,4.7,11.0,.422,.422,3.3,4.6,.724,,,3.5,4.7,,,,2.6,12.6
6,Lucius Allen,PG,23,MIL,61,,19.0,2.9,6.5,.447,,,,2.9,6.5,.447,.447,1.3,1.8,.700,,,2.5,2.6,,,,1.8,7.1
7,Cliff Anderson,SG,26,TOT,28,,7.1,0.7,2.3,.308,,,,0.7,2.3,.308,.308,1.6,2.4,.687,,,1.7,0.7,,,,1.0,3.1
8,Tiny Archibald*,PG,22,CIN,82,,35.0,5.9,13.4,.444,,,,5.9,13.4,.444,.444,4.1,5.4,.757,,,3.0,5.5,,,,2.7,16.0
9,Bob Arnzen,SF,23,CIN,55,,10.8,2.3,5.0,.462,,,,2.3,5.0,.462,.462,0.8,0.9,.865,,,2.8,0.4,,,,1.0,5.5
10,Al Attles,PG,34,SFW,34,,9.4,0.6,1.6,.407,,,,0.6,1.6,.407,.407,0.7,1.2,.585,,,1.2,1.7,,,,1.7,2.0
11,Dennis Awtrey,C,22,PHI,70,,18.5,2.9,6.0,.475,,,,2.9,6.0,.475,.475,1.5,2.2,.662,,,6.1,1.3,,,,3.0,7.2
12,Jim Barnes,PF,29,BAL,11,,9.1,1.4,2.5,.536,,,,1.4,2.5,.536,.536,0.6,1.0,.636,,,1.5,0.7,,,,2.1,3.4
13,Dick Barnett,SG,34,NYK,82,,34.7,6.6,14.4,.456,,,,6.6,14.4,.456,.456,2.4,3.4,.694,,,2.9,2.7,,,,2.8,15.5
14,Jim Barnett,SG,26,POR,78,,30.4,7.2,16.4,.436,,,,7.2,16.4,.436,.436,4.2,5.2,.811,,,4.8,4.1,,,,2.4,18.5
15,Moe Barr,G,26,CIN,31,,4.7,0.8,2.0,.403,,,,0.8,2.0,.403,.403,0.4,0.4,.846,,,0.6,0.9,,,,0.9,2.0
16,Johnny Baum,SF,24,CHI,62,,8.8,2.0,4.7,.420,,,,2.0,4.7,.420,.420,0.6,0.9,.690,,,2.0,0.5,,,,0.9,4.6
17,Elgin Baylor*,SF,36,LAL,2,,28.5,4.0,9.5,.421,,,,4.0,9.5,.421,.421,2.0,3.0,.667,,,5.5,1.0,,,,3.0,10.0
18,Walt Bellamy*,C,31,ATL,82,,35.5,5.3,10.7,.493,,,,5.3,10.7,.493,.493,4.1,6.8,.604,,,12.9,2.8,,,,3.3,14.7
19,Dave Bing*,PG,27,DET,82,,37.4,9.7,20.9,.467,,,,9.7,20.9,.467,.467,7.5,9.4,.797,,,4.4,5.0,,,,2.8,27.0
20,Tom Black,C,29,TOT,71,,12.3,1.7,4.2,.402,,,,1.7,4.2,.402,.402,0.8,1.2,.648,,,3.6,0.6,,,,1.9,4.2
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,John Block,PF,26,SDR,73,,20.1,3.4,8.0,.420,,,,3.4,8.0,.420,.420,2.9,3.7,.785,,,6.1,1.3,,,,2.6,9.6
22,Tom Boerwinkle,C,25,CHI,82,,28.9,4.4,9.0,.485,,,,4.4,9.0,.485,.485,2.0,2.8,.724,,,13.8,4.8,,,,3.4,10.8
23,Bob Boozer,PF,33,MIL,80,,22.2,3.6,8.1,.450,,,,3.6,8.1,.450,.450,1.9,2.3,.818,,,5.4,1.6,,,,2.7,9.1
24,Nate Bowman,C,27,BUF,44,,11.0,1.3,3.4,.392,,,,1.3,3.4,.392,.392,0.5,0.9,.526,,,3.9,0.9,,,,2.1,3.1
25,Bill Bradley*,SF,27,NYK,78,,29.5,5.3,11.7,.453,,,,5.3,11.7,.453,.453,1.8,2.2,.823,,,3.3,3.6,,,,3.1,12.4
26,Bill Bridges,PF,31,ATL,82,,38.3,4.7,10.2,.458,,,,4.7,10.2,.458,.458,2.6,4.0,.639,,,15.0,2.9,,,,3.9,11.9
27,Em Bryant,PG,32,BUF,73,,29.3,3.9,9.4,.421,,,,3.9,9.4,.421,.421,2.1,2.8,.744,,,3.6,4.8,,,,3.6,10.0
28,Fred Carter,SG,25,BAL,77,,22.2,4.4,10.6,.417,,,,4.4,10.6,.417,.417,1.5,2.4,.650,,,3.3,2.1,,,,2.1,10.4
29,Wilt Chamberlain*,C,34,LAL,82,,44.3,8.1,15.0,.545,,,,8.1,15.0,.545,.545,4.4,8.2,.538,,,18.2,4.3,,,,2.1,20.7
30,Jerry Chambers,SF,27,ATL,65,,18.0,3.6,8.1,.451,,,,3.6,8.1,.451,.451,1.6,2.1,.791,,,3.8,0.9,,,,1.8,8.9
31,Don Chaney,SG,24,BOS,81,,28.3,4.3,9.5,.454,,,,4.3,9.5,.454,.454,2.9,3.9,.748,,,5.7,2.9,,,,3.6,11.5
32,Len Chappell,PF,30,TOT,48,,11.2,1.8,4.1,.432,,,,1.8,4.1,.432,.432,1.5,1.8,.807,,,3.1,0.4,,,,1.5,5.1
33,Bob Christian,C,24,ATL,54,,9.7,1.0,2.4,.433,,,,1.0,2.4,.433,.433,0.7,1.2,.625,,,3.3,0.6,,,,2.2,2.8
34,Archie Clark,PG,29,PHI,82,,39.6,8.1,16.3,.496,,,,8.1,16.3,.496,.496,5.1,6.5,.787,,,4.8,5.4,,,,2.6,21.3
35,Barry Clemens,SF,27,SEA,78,,16.5,3.2,6.7,.470,,,,3.2,6.7,.470,.470,1.1,1.5,.728,,,3.1,1.2,,,,2.2,7.4
36,Jimmy Collins,SG,24,CHI,55,,8.7,1.7,3.9,.430,,,,1.7,3.9,.430,.430,0.6,0.8,.778,,,1.0,1.1,,,,0.8,4.0
37,Joe Cooke,SG,22,CLE,73,,9.9,1.8,4.7,.393,,,,1.8,4.7,.393,.393,0.7,0.8,.814,,,1.6,1.3,,,,1.8,4.3
38,Mel Counts,C,29,PHO,80,,20.9,4.6,10.0,.457,,,,4.6,10.0,.457,.457,1.9,2.5,.753,,,6.3,1.7,,,,3.5,11.0
39,Dave Cowens*,C,22,BOS,81,,38.0,6.8,16.1,.422,,,,6.8,16.1,.422,.422,3.4,4.6,.732,,,15.0,2.8,,,,4.3,17.0
40,Freddie Crawford,SG,29,TOT,51,,12.8,2.2,5.5,.391,,,,2.2,5.5,.391,.391,0.9,1.9,.490,,,2.0,1.5,,,,1.5,5.3
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Pete Cross,C,22,SEA,79,,27.8,3.1,7.0,.442,,,,3.1,7.0,.442,.442,1.8,2.6,.690,,,12.0,1.4,,,,2.7,8.0
